iter	MultiClass
394	0.6602133133
395	0.6599235147
396	0.6594656019
397	0.6591414395
398	0.6589613093
399	0.6586066436
400	0.6582285544
401	0.6577847741
402	0.6575985579
403	0.6574085744
404	0.6570877381
405	0.6567586821
406	0.6563941302
407	0.6560407033
408	0.6557284447
409	0.6551179794
410	0.6548753604
411	0.6544735656
412	0.6541820482
413	0.6537484367
414	0.6534939275
415	0.653029315
416	0.6525651581
417	0.6523653226
418	0.6520452355
419	0.6517229266
420	0.6515704581
421	0.6511402086
422	0.6508858113
423	0.6505837886
424	0.650275796
425	0.6498317826
426	0.64936324
427	0.6491668152
428	0.6489799402
429	0.6486208484
430	0.6484602393
431	0.648317073
432	0.6480516328
433	0.6476368522
434	0.6473374743
435	0.6469730206
436	0.6465884287
437	0.6461537848
438	0.6456943704
439	0.6453653938
440	0.6450165063
441	0.6447141099
442	0.6444388943
443	0.6442868576
444	0.6441003008
445	0.6438001997
446	0.6434297509
447	0.6430173271
448	0.6426805408
449	0.6422986633
450	0.6420957783
451	0.6418242753
452	0.6414016057
453	0.6409569157
454	0.6407316701
455	0.640253423
456	0.6398198874
457	0.6395548066
458	0.6391819148
459	0.6389888394
460	0.6387116133
461	0.6386045943
462	0.6383126356
463	0.6380752666
464	0.6377984348
465	0.6376218395
466	0.6373707995
467	0.6371105121
468	0.6367221361
469	0.6364787671
470	0.6361964783
471	0.6358822166
472	0.6356418033
473	0.6355206246
474	0.6352553794
475	0.6348736372
476	0.6345539517
477	0.6343511825
478	0.6341748185
479	0.6339989538
480	0.6337239482
481	0.6334681993
482	0.6331882549
483	0.6328495471
484	0.6324120348
485	0.6322261868
486	0.6319585329
487	0.631671348
488	0.6315027069
489	0.6312320913
490	0.630890809
491	0.6306653475
492	0.63043988
493	0.6302714805
494	0.6300230547
495	0.6297840275
496	0.6296783785
497	0.6291468808
498	0.6289136274
499	0.6286783604
